1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/4/29,2016/4/28,1000000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/8/21,2017/8/21,500000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/9/17,2017/9/15,500000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/9/22,2016/9/22,50000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/11/12,2017/11/10,400000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/12/21,2017/12/21,100000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2015/12/23,2017/12/22,300000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2016/1/7,2016/12/16,53000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2016/1/28,2019/1/28,50000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管郑州分行理财1号专项资产管理计划,一对一,2016/3/31,2017/3/31,500000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管长春分行理财1号专项资产管理计划,一对一,2015/6/30,2016/6/30,900000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管西安分行理财1号专项资产管理计划,一对一,2015/6/12,2018/6/12,200000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管西安分行理财1号专项资产管理计划,一对一,2015/6/15,2018/6/15,250000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管西安分行理财1号专项资产管理计划,一对一,2015/6/17,2016/6/17,80000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管西安分行理财1号专项资产管理计划,一对一,2015/12/25,2017/12/24,90000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管武汉分行理财1号专项资产管理计划,一对一,2015/2/27,2017/2/27,110000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管武汉分行理财1号专项资产管理计划,一对一,2015/9/22,2016/9/22,140000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管武汉分行理财1号专项资产管理计划,一对一,2015/10/28,2016/10/28,220000000,0.0003,,,金融合作一部,360,行内,民生银行,资产管理部,郭蕊,按季支付
1,民生银行民生加银资管同业合作郑州分行1号专项资产管理计划,一对一,2015/6/18,2017/6/11,495000000,0.0013,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季付息（不含20日），到期还本
1,民生银行民生加银资管同业合作郑州分行1号专项资产管理计划,一对一,2016/2/3,2018/2/2,300000000,0.001,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季付息（含20日），到期还本
1,民生银行民生加银资管同业合作西安分行2号专项资产管理计划,一对一,2015/12/17,2020/12/18,2010000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按年付息，按年还本（每年12月19日支付）
1,民生银行民生加银资管同业合作武汉分行1号专项资产管理计划,一对一,2016/1/28,2016/6/21,491469138.9,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还本付息
1,民生银行民生加银资管同业合作武汉分行1号专项资产管理计划,一对一,2016/1/29,2017/1/27,300000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季付息，到期还本
1,民生银行民生加银资管同业合作武汉分行1号专项资产管理计划,一对一,2016/3/7,2017/3/7,2000000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,到期一次性还本付息
